  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
      27	 10:41:25	   8.000	  -6.000	  420.41	 1017.48	   14.47	  -135.5	  3547.0	  3088.0	  1031.4	  -931.8	 -1895.1	   0.000	   1.232	   985.4	    40.0	  455072	  123.00	  123.00	   17.28	   17.74	    0.00	  14.994	  15.392	  34.049	  33.679	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      28	 10:42:05	   8.000	   5.995	  420.55	 1017.48	   14.58	  1968.3	 -3709.0	   710.8	  2626.5	   840.7	  1986.3	   0.000	   1.232	   985.7	    40.0	  454935	   82.01	   82.01	    1.81	    0.88	    0.00	  15.914	  16.795	  33.041	  31.833	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      29	 10:42:33	   8.000	   0.000	  420.53	 1017.48	   14.62	    18.0	   108.1	  2148.0	  1927.2	  -830.4	   -28.7	   0.000	   1.232	   985.6	    40.0	  454838	  122.98	  123.01	   17.37	   18.01	    0.00	  16.414	  17.327	  34.051	  33.597	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      30	 10:42:57	   8.000	   6.000	  420.20	 1017.48	   14.66	  -140.1	 -3637.6	  1215.1	  3008.0	 -1005.3	  1962.4	   0.000	   1.232	   984.9	    40.0	  454575	  123.01	  123.01	   17.26	   17.58	    0.00	  16.925	  18.007	  34.066	  33.611	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      31	 10:43:24	   8.000	   0.005	  420.91	 1017.48	   14.68	  2196.1	   -58.5	  1655.8	  1595.4	   983.9	    52.7	   0.000	   1.231	   986.5	    40.0	  454919	   82.02	   82.01	    1.03	    0.91	    0.00	  17.637	  18.889	  32.304	  31.814	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      32	 10:43:57	   8.000	  -5.995	  420.24	 1017.47	   14.74	  2043.3	  3441.8	  2644.9	   723.1	   786.2	 -1832.4	   0.000	   1.231	   985.0	    40.0	  454438	   82.00	   81.99	    1.42	    1.62	    0.00	  18.225	  19.286	  32.083	  32.713	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      33	 10:44:45	   4.004	   0.000	  420.21	 1017.46	   14.78	  1560.1	   -36.0	  1019.9	   973.0	   875.8	    29.2	   0.000	   1.231	   984.9	    40.0	  454334	   81.99	   81.99	    0.85	    0.68	    0.00	  18.443	  19.064	  31.850	  31.372	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      34	 10:45:17	   4.004	  -6.000	  420.24	 1017.46	   14.83	  1445.6	  3510.0	  2014.5	    67.5	   720.2	 -1884.0	   0.000	   1.231	   985.0	    40.0	  454244	   82.01	   82.02	    0.82	    1.18	    0.00	  18.362	  18.815	  31.717	  32.048	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      35	 10:45:53	   4.004	   5.995	  419.96	 1017.48	   14.86	  1383.0	 -3625.4	    76.2	  1969.6	   778.9	  1947.5	   0.000	   1.231	   984.3	    40.0	  454039	   81.98	   82.00	    1.35	    0.79	    0.00	  18.212	  18.524	  32.463	  31.253	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
