  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 09:54:06	   8.000	  -6.000	  421.39	 1017.47	   13.96	   -96.0	  2525.4	  2810.9	  1265.4	  -851.4	 -1188.8	   0.000	   1.235	   987.7	    40.0	  456639	  123.00	  122.99	   17.94	   17.89	    0.00	  15.349	  15.867	  34.226	  33.675	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 09:54:51	   8.000	   5.995	  421.56	 1017.49	   13.99	  1982.7	 -4692.0	   473.9	  2877.8	   841.8	  2666.2	   0.000	   1.234	   988.1	    40.0	  456676	   82.01	   82.01	    1.54	    0.99	    0.00	  16.228	  17.136	  31.242	  31.367	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 09:55:25	   8.000	   0.000	  421.61	 1017.48	   14.02	    52.8	  -913.3	  1889.5	  2173.2	  -795.7	   677.6	   0.000	   1.234	   988.2	    40.0	  456643	  123.00	  123.00	   17.98	   17.67	    0.00	  16.662	  17.583	  34.092	  33.632	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 09:55:51	   8.000	   6.000	  421.69	 1017.48	   14.06	  -134.8	 -4595.6	   986.6	  3254.3	 -1008.0	  2622.3	   0.000	   1.234	   988.4	    40.0	  456601	  123.00	  122.99	   17.89	   17.71	    0.00	  17.210	  18.331	  34.082	  33.663	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 09:56:40	   8.000	   0.000	  420.82	 1017.49	   14.14	  2229.9	 -1108.3	  1382.2	  1844.8	  1020.8	   779.1	   0.000	   1.234	   986.3	    40.0	  455973	   82.01	   82.01	    1.32	    1.04	    0.00	  18.310	  19.425	  31.525	  31.078	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 09:57:09	   8.000	  -5.995	  420.82	 1017.50	   14.16	  2084.7	  2392.8	  2359.3	   960.6	   873.4	 -1108.7	   0.000	   1.234	   986.3	    40.0	  455927	   82.01	   82.01	    1.03	    1.85	    0.00	  18.511	  19.370	  31.397	  31.983	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 09:57:57	   4.004	   0.000	  421.49	 1017.49	   14.22	  1594.5	 -1130.9	   734.7	  1261.0	   901.2	   778.2	   0.000	   1.233	   987.9	    40.0	  456168	   82.00	   81.98	    0.95	    0.74	    0.00	  18.435	  18.907	  31.188	  30.630	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 09:59:53	   7.996	  -4.000	  421.17	 1017.51	   14.36	   794.3	  1284.9	  2304.2	  1467.9	  -175.0	  -556.4	   0.000	   1.233	   987.2	    40.0	  455719	  109.39	  109.38	   10.31	   11.27	    0.00	  17.766	  17.976	  33.835	  32.731	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 10:01:01	   4.004	   3.995	  237.56	 1017.49	   14.22	   914.0	 -1980.2	    40.4	  1041.8	   574.9	  1183.8	   0.000	   1.233	   555.0	    30.0	  341916	   61.50	   61.50	    0.66	    0.37	    0.00	  18.164	  18.676	  32.603	  31.505	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
