  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      27	   8.000	  -6.000	  1.0058	0.002541	-0.14713	-0.06098	-0.152716	  0.9943	-0.146588	-0.02305	-0.30954	 0.03502	-0.012852	0.146588	1.005837	 0.00600	-0.30745	 0.03860	   -1.33	   33.37	  231.88	    1.91	  -11.24	   12.30	  420.41	 1017.48	   14.47	   1.232	   985.4	   39.99	3.536E+5	   0.118
      28	   8.000	   5.995	  0.9766	0.088905	 0.14418	-0.02589	-0.063271	  0.9773	0.152681	 0.01262	-0.27021	-0.03840	0.073360	-0.152681	0.976580	-0.01779	-0.28215	-0.04055	   18.30	  -34.76	  225.30	   -5.67	  -10.29	  -12.93	  420.55	 1017.48	   14.58	   1.232	   985.7	   40.00	3.535E+5	   0.118
      29	   8.000	   0.000	  0.9955	-0.005976	-0.00591	-0.07036	-0.144470	  0.9850	-0.005908	-0.00759	-0.31660	-0.00047	-0.005976	0.005908	0.995510	-0.00662	-0.31563	 0.00060	    0.23	    1.35	  229.60	   -2.11	  -11.55	    0.19	  420.53	 1017.48	   14.62	   1.232	   985.6	   40.01	3.534E+5	   0.118
      30	   8.000	   6.000	  1.0173	0.003947	 0.14951	-0.08938	-0.153171	  1.0058	0.149100	 0.00881	-0.34082	-0.03851	-0.011702	-0.149100	1.017286	-0.02100	-0.33892	-0.04013	   -1.07	  -33.92	  234.37	   -6.69	  -12.42	  -12.78	  420.20	 1017.48	   14.66	   1.232	   984.9	   39.99	3.532E+5	   0.118
      31	   8.000	   0.005	  0.9686	0.081958	 0.00131	 0.00515	-0.053645	  0.9706	0.001319	-0.00370	-0.23749	-0.00159	0.081958	-0.001319	0.968588	-0.00411	-0.25083	-0.00109	   20.27	   -0.30	  223.67	   -1.31	   -9.13	   -0.35	  420.91	 1017.48	   14.68	   1.231	   986.5	   40.03	3.535E+5	   0.118
      32	   8.000	  -5.995	  0.9893	0.089738	-0.13407	-0.01617	-0.063173	  0.9901	-0.142705	-0.01860	-0.26371	 0.03437	0.075245	0.142705	0.989288	 0.00968	-0.27595	 0.03733	   18.71	   32.47	  228.02	    3.08	  -10.05	   11.89	  420.24	 1017.47	   14.74	   1.231	   985.0	   40.00	3.531E+5	   0.118
      33	   4.004	   0.000	  0.6193	0.055848	 0.00101	 0.03578	0.012467	  0.6217	0.001006	-0.00304	-0.11964	-0.00082	0.055848	-0.001006	0.619304	-0.00326	-0.12873	-0.00061	   14.43	   -0.23	  143.77	   -1.04	   -4.38	   -0.19	  420.21	 1017.46	   14.78	   1.231	   984.9	   40.00	3.530E+5	   0.118
      34	   4.004	  -6.000	  0.6355	0.065390	-0.13863	 0.01870	0.006043	  0.6375	-0.144701	-0.01634	-0.14067	 0.03715	0.050541	0.144701	0.635495	 0.00985	-0.14890	 0.03838	   13.22	   32.92	  147.46	    3.14	   -5.14	   12.23	  420.24	 1017.46	   14.83	   1.231	   985.0	   40.01	3.529E+5	   0.118
      35	   4.004	   5.995	  0.6229	0.064556	 0.14316	 0.00719	0.005638	  0.6248	0.149120	 0.01082	-0.14900	-0.03896	0.049251	-0.149120	0.622866	-0.01620	-0.15702	-0.03981	   12.92	  -33.91	  144.49	   -5.16	   -5.44	  -12.67	  419.96	 1017.48	   14.86	   1.231	   984.3	   39.99	3.528E+5	   0.118
