  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	   8.000	  -6.000	  1.0006	0.000625	-0.11353	-0.04357	-0.150400	  0.9893	-0.112977	-0.01480	-0.29090	 0.02182	-0.011246	0.112977	1.000626	 0.00683	-0.28907	 0.02411	   -0.97	   25.78	  231.24	    2.18	  -10.58	    7.70	  421.39	 1017.47	   13.96	   1.235	   987.7	   40.00	3.548E+5	   0.118
       2	   8.000	   5.995	  0.9783	0.092593	 0.17558	-0.02821	-0.063124	  0.9790	0.184295	 0.02037	-0.27297	-0.05099	0.073748	-0.184295	0.978286	-0.01705	-0.28497	-0.05435	   18.43	  -42.06	  226.23	   -5.45	  -10.43	  -17.37	  421.56	 1017.49	   13.99	   1.234	   988.1	   40.01	3.548E+5	   0.118
       3	   8.000	   0.000	  0.9934	-0.004573	 0.02735	-0.06676	-0.142786	  0.9831	0.027350	 0.00032	-0.31253	-0.01364	-0.004573	-0.027350	0.993392	-0.00607	-0.31179	-0.01382	    0.55	   -6.24	  229.71	   -1.94	  -11.44	   -4.42	  421.61	 1017.48	   14.02	   1.234	   988.2	   40.02	3.548E+5	   0.118
       4	   8.000	   6.000	  1.0182	0.007393	 0.18009	-0.09025	-0.153073	  1.0067	0.179877	 0.01621	-0.34192	-0.05069	-0.011473	-0.179877	1.018221	-0.02042	-0.34006	-0.05347	   -1.02	  -41.07	  235.42	   -6.53	  -12.50	  -17.09	  421.69	 1017.48	   14.06	   1.234	   988.4	   40.02	3.548E+5	   0.118
       5	   8.000	   0.000	  0.9663	0.083343	 0.03552	 0.00878	-0.051961	  0.9685	0.035521	 0.00468	-0.23335	-0.01513	0.083343	-0.035521	0.966342	-0.00329	-0.24691	-0.01594	   20.58	   -8.09	  223.11	   -1.05	   -8.98	   -5.08	  420.82	 1017.49	   14.14	   1.234	   986.3	   39.99	3.543E+5	   0.118
       6	   8.000	  -5.995	  0.9845	0.087691	-0.09960	 0.00276	-0.060961	  0.9856	-0.108217	-0.01028	-0.24365	 0.02085	0.076809	0.108217	0.984519	 0.01039	-0.25615	 0.02250	   19.09	   24.66	  227.25	    3.31	   -9.32	    7.18	  420.82	 1017.50	   14.16	   1.234	   986.3	   39.99	3.542E+5	   0.118
       7	   4.004	   0.000	  0.6210	0.057047	 0.03709	 0.03658	0.013549	  0.6234	0.037086	 0.00578	-0.11927	-0.01545	0.057047	-0.037086	0.620956	-0.00135	-0.12855	-0.01590	   14.75	   -8.46	  144.58	   -0.43	   -4.39	   -5.08	  421.49	 1017.49	   14.22	   1.233	   987.9	   40.02	3.544E+5	   0.118
       8	   7.996	  -4.000	  0.9889	0.029297	-0.05851	-0.04999	-0.112659	  0.9828	-0.060413	-0.00826	-0.29568	 0.01009	0.025144	0.060413	0.988867	 0.00309	-0.29977	 0.01135	    7.33	   13.78	  228.44	    0.98	  -10.97	    3.62	  421.17	 1017.51	   14.36	   1.233	   987.2	   40.02	3.541E+5	   0.118
       9	   4.004	   3.995	  0.6141	0.068388	 0.12858	 0.00808	0.016241	  0.6167	0.133035	 0.01428	-0.14610	-0.04173	0.059264	-0.133035	0.614069	-0.01033	-0.15574	-0.04283	    8.57	  -17.06	   80.34	   -1.85	   -3.04	   -7.69	  237.56	 1017.49	   14.22	   1.233	   555.0	   30.00	2.657E+5	   0.088
